place,type_of_meteorite,subgroup_of_meteorite,group_of_meteorite,mass_g,fell_found01,fell_found,year,longitude,latitude
QUE 99859,LL5,Chondrite,Stony,1.3,1,Found,1999,168,-84
QUE 99860,LL5,Chondrite,Stony,1.3,1,Found,1999,168,-84
QUE 99902,LL5,Chondrite,Stony,1.3,1,Found,1999,168,-84
QUE 99903,LL5,Chondrite,Stony,1.3,1,Found,1999,168,-84
QUE 02139,LL5,Chondrite,Stony,1.3,1,Found,2002,168,-84
QUE 02130,LL5,Chondrite,Stony,1.26,1,Found,2002,168,-84
QUE 99115,LL5,Chondrite,Stony,1.25,1,Found,1999,168,-84
QUE 99751,LL5,Chondrite,Stony,1.25,1,Found,1999,168,-84
QUE 99209,LL5,Chondrite,Stony,1.22,1,Found,1999,168,-84
QUE 97198,LL5,Chondrite,Stony,1.2,1,Found,1997,168,-84
QUE 97239,LL5,Chondrite,Stony,1.2,1,Found,1997,168,-84
QUE 97485,LL5,Chondrite,Stony,1.2,1,Found,1997,168,-84
QUE 97497,LL5,Chondrite,Stony,1.2,1,Found,1997,168,-84
QUE 97502,LL5,Chondrite,Stony,1.2,1,Found,1997,168,-84
QUE 97516,LL5,Chondrite,Stony,1.2,1,Found,1997,168,-84
QUE 97517,LL5,Chondrite,Stony,1.2,1,Found,1997,168,-84
QUE 97543,LL5,Chondrite,Stony,1.2,1,Found,1997,168,-84
QUE 99537,LL5,Chondrite,Stony,1.2,1,Found,1999,168,-84
QUE 99636,LL5,Chondrite,Stony,1.2,1,Found,1999,168,-84
QUE 99847,LL5,Chondrite,Stony,1.2,1,Found,1999,168,-84
QUE 99214,LL5,Chondrite,Stony,1.18,1,Found,1999,168,-84
QUE 99215,LL5,Chondrite,Stony,1.18,1,Found,1999,168,-84
QUE 99213,LL5,Chondrite,Stony,1.16,1,Found,1999,168,-84
QUE 99205,LL5,Chondrite,Stony,1.15,1,Found,1999,168,-84
QUE 99674,LL5,Chondrite,Stony,1.14,1,Found,1999,168,-84
QUE 99794,LL5,Chondrite,Stony,1.13,1,Found,1999,168,-84
QUE 99335,LL5,Chondrite,Stony,1.12,1,Found,1999,168,-84
LEW 87012,LL5,Chondrite,Stony,1.1,1,Found,1987,161.4778,-84.34541
QUE 97237,LL5,Chondrite,Stony,1.1,1,Found,1997,168,-84
QUE 97498,LL5,Chondrite,Stony,1.1,1,Found,1997,168,-84
QUE 97499,LL5,Chondrite,Stony,1.1,1,Found,1997,168,-84
QUE 97539,LL5,Chondrite,Stony,1.1,1,Found,1997,168,-84
QUE 97686,LL5,Chondrite,Stony,1.1,1,Found,1997,168,-84
QUE 97687,LL5,Chondrite,Stony,1.1,1,Found,1997,168,-84
QUE 97728,LL5,Chondrite,Stony,1.1,1,Found,1997,168,-84
QUE 99200,LL5,Chondrite,Stony,1.1,1,Found,1999,168,-84
QUE 99201,LL5,Chondrite,Stony,1.1,1,Found,1999,168,-84
QUE 99377,LL5,Chondrite,Stony,1.1,1,Found,1999,168,-84
QUE 99394,LL5,Chondrite,Stony,1.1,1,Found,1999,168,-84
QUE 99564,LL5,Chondrite,Stony,1.1,1,Found,1999,168,-84
QUE 99591,LL5,Chondrite,Stony,1.1,1,Found,1999,168,-84
QUE 99632,LL5,Chondrite,Stony,1.1,1,Found,1999,168,-84
Alaer 002,LL5,Chondrite,Stony,1.1,1,Found,2007,81.25,40.33333
QUE 99256,LL5,Chondrite,Stony,1.04,1,Found,1999,168,-84
MAC 02659,LL5,Chondrite,Stony,1.02,1,Found,2002,160.5,-84.21667
QUE 97372,LL5,Chondrite,Stony,1,1,Found,1997,168,-84
QUE 971016,LL5,Chondrite,Stony,1,1,Found,1997,168,-84
QUE 99405,LL5,Chondrite,Stony,1,1,Found,1999,168,-84
QUE 99672,LL5,Chondrite,Stony,1,1,Found,1999,168,-84
QUE 99748,LL5,Chondrite,Stony,1,1,Found,1999,168,-84
QUE 02153,LL5,Chondrite,Stony,1,1,Found,2002,168,-84
QUE 02101,LL5,Chondrite,Stony,0.96,1,Found,2002,168,-84
QUE 97587,LL5,Chondrite,Stony,0.9,1,Found,1997,168,-84
QUE 97838,LL5,Chondrite,Stony,0.9,1,Found,1997,168,-84
QUE 99076,LL5,Chondrite,Stony,0.9,1,Found,1999,168,-84
QUE 99108,LL5,Chondrite,Stony,0.9,1,Found,1999,168,-84
QUE 99367,LL5,Chondrite,Stony,0.9,1,Found,1999,168,-84
QUE 99383,LL5,Chondrite,Stony,0.9,1,Found,1999,168,-84
QUE 99478,LL5,Chondrite,Stony,0.9,1,Found,1999,168,-84
QUE 99535,LL5,Chondrite,Stony,0.9,1,Found,1999,168,-84
QUE 97150,LL5,Chondrite,Stony,0.8,1,Found,1997,168,-84
QUE 97512,LL5,Chondrite,Stony,0.8,1,Found,1997,168,-84
QUE 99404,LL5,Chondrite,Stony,0.8,1,Found,1999,168,-84
QUE 99551,LL5,Chondrite,Stony,0.8,1,Found,1999,168,-84
QUE 99729,LL5,Chondrite,Stony,0.8,1,Found,1999,168,-84
QUE 99912,LL5,Chondrite,Stony,0.8,1,Found,1999,168,-84
QUE 02108,LL5,Chondrite,Stony,0.79,1,Found,2002,168,-84
QUE 99266,LL5,Chondrite,Stony,0.74,1,Found,1999,168,-84
QUE 97789,LL5,Chondrite,Stony,0.7,1,Found,1997,168,-84
QUE 97884,LL5,Chondrite,Stony,0.7,1,Found,1997,168,-84
QUE 99062,LL5,Chondrite,Stony,0.7,1,Found,1999,168,-84
QUE 99073,LL5,Chondrite,Stony,0.7,1,Found,1999,168,-84
QUE 99391,LL5,Chondrite,Stony,0.7,1,Found,1999,168,-84
QUE 99403,LL5,Chondrite,Stony,0.7,1,Found,1999,168,-84
QUE 99485,LL5,Chondrite,Stony,0.7,1,Found,1999,168,-84
QUE 99563,LL5,Chondrite,Stony,0.7,1,Found,1999,168,-84
QUE 99846,LL5,Chondrite,Stony,0.7,1,Found,1999,168,-84
GRV 024245,LL5,Chondrite,Stony,0.7,1,Found,2003,75.25,-72.9825
QUE 99227,LL5,Chondrite,Stony,0.62,1,Found,1999,168,-84
QUE 02178,LL5,Chondrite,Stony,0.55,1,Found,2002,168,-84
QUE 99185,LL5,Chondrite,Stony,0.52,1,Found,1999,168,-84
QUE 99750,LL5,Chondrite,Stony,0.51,1,Found,1999,168,-84
QUE 97484,LL5,Chondrite,Stony,0.5,1,Found,1997,168,-84
QUE 971015,LL5,Chondrite,Stony,0.5,1,Found,1997,168,-84
QUE 99047,LL5,Chondrite,Stony,0.5,1,Found,1999,168,-84
QUE 99565,LL5,Chondrite,Stony,0.5,1,Found,1999,168,-84
QUE 99566,LL5,Chondrite,Stony,0.5,1,Found,1999,168,-84
QUE 99728,LL5,Chondrite,Stony,0.5,1,Found,1999,168,-84
QUE 99742,LL5,Chondrite,Stony,0.5,1,Found,1999,168,-84
QUE 99911,LL5,Chondrite,Stony,0.5,1,Found,1999,168,-84
QUE 99228,LL5,Chondrite,Stony,0.48,1,Found,1999,168,-84
QUE 99229,LL5,Chondrite,Stony,0.48,1,Found,1999,168,-84
QUE 99758,LL5,Chondrite,Stony,0.45,1,Found,1999,168,-84
GRV 024066,LL5,Chondrite,Stony,0.45,1,Found,2003,75.24417,-72.9975
QUE 99150,LL5,Chondrite,Stony,0.44,1,Found,1999,168,-84
QUE 97256,LL5,Chondrite,Stony,0.4,1,Found,1997,168,-84
QUE 99819,LL5,Chondrite,Stony,0.4,1,Found,1999,168,-84
QUE 99841,LL5,Chondrite,Stony,0.4,1,Found,1999,168,-84
QUE 99253,LL5,Chondrite,Stony,0.35,1,Found,1999,168,-84
QUE 99226,LL5,Chondrite,Stony,0.34,1,Found,1999,168,-84
QUE 99295,LL5,Chondrite,Stony,0.34,1,Found,1999,168,-84
QUE 99255,LL5,Chondrite,Stony,0.33,1,Found,1999,168,-84
QUE 99046,LL5,Chondrite,Stony,0.3,1,Found,1999,168,-84
QUE 99376,LL5,Chondrite,Stony,0.3,1,Found,1999,168,-84
QUE 99474,LL5,Chondrite,Stony,0.3,1,Found,1999,168,-84
QUE 99743,LL5,Chondrite,Stony,0.3,1,Found,1999,168,-84
QUE 99842,LL5,Chondrite,Stony,0.3,1,Found,1999,168,-84
QUE 99219,LL5,Chondrite,Stony,0.26,1,Found,1999,168,-84
EET 92099,LL5,Chondrite,Stony,0.2,1,Found,1992,155.84738,-76.01494
QUE 99048,LL5,Chondrite,Stony,0.2,1,Found,1999,168,-84
QUE 99727,LL5,Chondrite,Stony,0.2,1,Found,1999,168,-84
QUE 99427,LL5,Chondrite,Stony,0.15,1,Found,1999,168,-84
MAC 02698,LL5,Chondrite,Stony,0.15,1,Found,2002,160.5,-84.21667
QUE 971018,LL5,Chondrite,Stony,0.1,1,Found,1997,168,-84
QUE 99063,LL5,Chondrite,Stony,0.1,1,Found,1999,168,-84
Dho 1648,LL5/6,Chondrite,Stony,262,1,Found,2011,54.69008,19.17098
Y-791108,LL5/6,Chondrite,Stony,215.39,1,Found,1979,35.66667,-71.5
Y-791110,LL5/6,Chondrite,Stony,34.47,1,Found,1979,35.66667,-71.5
Y-791109,LL5/6,Chondrite,Stony,33.59,1,Found,1979,35.66667,-71.5
Y-791111,LL5/6,Chondrite,Stony,20.02,1,Found,1979,35.66667,-71.5
Y-791141,LL5/6,Chondrite,Stony,16.2,1,Found,1979,35.66667,-71.5
Y-791117,LL5/6,Chondrite,Stony,14.03,1,Found,1979,35.66667,-71.5
Y-791099,LL5/6,Chondrite,Stony,13.23,1,Found,1979,35.66667,-71.5
Y-791114,LL5/6,Chondrite,Stony,12.81,1,Found,1979,35.66667,-71.5
Y-791118,LL5/6,Chondrite,Stony,10.36,1,Found,1979,35.66667,-71.5
Y-791112,LL5/6,Chondrite,Stony,10.12,1,Found,1979,35.66667,-71.5
Y-791116,LL5/6,Chondrite,Stony,10.06,1,Found,1979,35.66667,-71.5
Y-791100,LL5/6,Chondrite,Stony,9.38,1,Found,1979,35.66667,-71.5
Y-791115,LL5/6,Chondrite,Stony,9.07,1,Found,1979,35.66667,-71.5
Y-791101,LL5/6,Chondrite,Stony,8.07,1,Found,1979,35.66667,-71.5
Y-791120,LL5/6,Chondrite,Stony,8.01,1,Found,1979,35.66667,-71.5
Y-791119,LL5/6,Chondrite,Stony,7.06,1,Found,1979,35.66667,-71.5
Y-791121,LL5/6,Chondrite,Stony,7.04,1,Found,1979,35.66667,-71.5
Y-791124,LL5/6,Chondrite,Stony,7.04,1,Found,1979,35.66667,-71.5
Y-791122,LL5/6,Chondrite,Stony,6.94,1,Found,1979,35.66667,-71.5
Y-791102,LL5/6,Chondrite,Stony,5.6,1,Found,1979,35.66667,-71.5
Y-791123,LL5/6,Chondrite,Stony,5.14,1,Found,1979,35.66667,-71.5
Y-791103,LL5/6,Chondrite,Stony,4.23,1,Found,1979,35.66667,-71.5
Y-791126,LL5/6,Chondrite,Stony,3.91,1,Found,1979,35.66667,-71.5
Y-791104,LL5/6,Chondrite,Stony,3.39,1,Found,1979,35.66667,-71.5
QUE 99861,LL5/6,Chondrite,Stony,3.2,1,Found,1999,168,-84
Y-791125,LL5/6,Chondrite,Stony,3.04,1,Found,1979,35.66667,-71.5
Y-791133,LL5/6,Chondrite,Stony,2.61,1,Found,1979,35.66667,-71.5
Y-791130,LL5/6,Chondrite,Stony,2.46,1,Found,1979,35.66667,-71.5
Y-791127,LL5/6,Chondrite,Stony,2.19,1,Found,1979,35.66667,-71.5
Y-791132,LL5/6,Chondrite,Stony,1.9,1,Found,1979,35.66667,-71.5
Y-791134,LL5/6,Chondrite,Stony,1.88,1,Found,1979,35.66667,-71.5
Y-791129,LL5/6,Chondrite,Stony,1.86,1,Found,1979,35.66667,-71.5
Y-791135,LL5/6,Chondrite,Stony,1.16,1,Found,1979,35.66667,-71.5
Y-791136,LL5/6,Chondrite,Stony,1,1,Found,1979,35.66667,-71.5
Y-791137,LL5/6,Chondrite,Stony,0.89,1,Found,1979,35.66667,-71.5
Y-791139,LL5/6,Chondrite,Stony,0.85,1,Found,1979,35.66667,-71.5
DaG 256,LL5-6,Chondrite,Stony,7141,1,Found,1997,16.17817,27.06117
NWA 1717,LL5-6,Chondrite,Stony,6032,1,Found,2002,-13,21
Acfer 091,LL5-6,Chondrite,Stony,3487,1,Found,1990,4.11667,27.45
DaG 061,LL5-6,Chondrite,Stony,3130,1,Found,1995,16.28017,27.45767
HaH 052,LL5-6,Chondrite,Stony,2765,1,Found,1994,13.0865,28.91367
HaH 150,LL5-6,Chondrite,Stony,932,1,Found,1995,13.46983,28.663
DaG 222,LL5-6,Chondrite,Stony,837,1,Found,1996,16.31267,27.45333
Acfer 177,LL5-6,Chondrite,Stony,721,1,Found,1990,3.85,27.48333
Dho 1566,LL5-6,Chondrite,Stony,605,1,Found,2008,54.1065,18.24233
Camel Donga 053,LL5-6,Chondrite,Stony,579,1,Found,2008,126.61667,-30.31667
Acfer 124,LL5-6,Chondrite,Stony,542,1,Found,1990,4.05,27.6
DaG 498,LL5-6,Chondrite,Stony,467,1,Found,1997,16.2315,27.45433
DaG 060,LL5-6,Chondrite,Stony,425,1,Found,1995,16.0775,27.32017
DaG 062,LL5-6,Chondrite,Stony,421,1,Found,1995,16.31333,27.45483
Acfer 176,LL5-6,Chondrite,Stony,320,1,Found,1990,3.85,27.48333
Acfer 126,LL5-6,Chondrite,Stony,280,1,Found,1990,3.8,27.51667
Acfer 058,LL5-6,Chondrite,Stony,277,1,Found,1989,3.71667,27.38333
Acfer 267,LL5-6,Chondrite,Stony,229,1,Found,1991,3.71306,27.51056
Acfer 251,LL5-6,Chondrite,Stony,202,1,Found,1991,3.88056,27.50972
Acfer 175,LL5-6,Chondrite,Stony,153,1,Found,1990,3.85,27.48333
DaG 257,LL5-6,Chondrite,Stony,135,1,Found,1997,16.1675,27.06967
Dho 918,LL5-6,Chondrite,Stony,134,1,Found,2003,54.48833,19.26
Premier Downs 002,LL5-6,Chondrite,Stony,124.6,1,Found,2008,125.51333,-30.68833
Acfer 296,LL5-6,Chondrite,Stony,121,1,Found,1992,4,27.58278
Acfer 081,LL5-6,Chondrite,Stony,110,1,Found,1990,3.86667,27.53333
Dho 151,LL5-6,Chondrite,Stony,79,1,Found,2000,54.828,19.10117
Dho 270,LL5-6,Chondrite,Stony,50,1,Found,2001,54.15167,18.32833
Acfer 253,LL5-6,Chondrite,Stony,47,1,Found,1991,3.89694,27.51361
DaG 109,LL5-6,Chondrite,Stony,47,1,Found,1996,16.52033,27.16383
DaG 882,LL5-6,Chondrite,Stony,42,1,Found,2000,16.1,27.23333
Sleeper Camp 013,LL5-7,Chondrite,Stony,87.4,1,Found,1993,126.4515,-30.12417
A-881555,LL6,Chondrite,Stony,27.34,1,Found,1988,26,-72
A-881432,LL6,Chondrite,Stony,22.82,1,Found,1988,26,-72
Saint-S??verin,LL6,Chondrite,Stony,271000,0,Fell,1966,0.23333,45.3
Ensisheim,LL6,Chondrite,Stony,127000,0,Fell,1492,7.35,47.86667
Sulagiri,LL6,Chondrite,Stony,110000,0,Fell,2008,78.03333,12.66667
A-87251,LL6,Chondrite,Stony,46000,1,Found,1987,26,-72
Jelica,LL6,Chondrite,Stony,34000,0,Fell,1889,20.44167,43.83333
Dhurmsala,LL6,Chondrite,Stony,32000,0,Fell,1860,76.46667,32.23333
Cha 002,LL6,Chondrite,Stony,30616,1,Found,2003,0.82213,25.15592
Naryilco,LL6,Chondrite,Stony,27000,1,Found,1975,141.15,-28.6
Lake Labyrinth,LL6,Chondrite,Stony,25850,1,Found,1924,134.75,-30.53333
Benguerir,LL6,Chondrite,Stony,25000,0,Fell,2004,-8.15,32.25
Mangwendi,LL6,Chondrite,Stony,22300,0,Fell,1934,31.6,-17.65
Arcadia,LL6,Chondrite,Stony,19400,1,Found,1937,-99.1,41.41667
Kilabo,LL6,Chondrite,Stony,19000,0,Fell,2002,9.8,12.76667
Dahmani,LL6,Chondrite,Stony,18000,0,Fell,1981,8.83333,35.61667
Appley Bridge,LL6,Chondrite,Stony,15000,0,Fell,1914,-2.71667,53.58333
SS 083,LL6,Chondrite,Stony,13700,1,Found,2010,-115.85828,35.98728
Sueilila,LL6,Chondrite,Stony,13266,1,Found,2005,-14.71633,24.63633
Okniny,LL6,Chondrite,Stony,12000,0,Fell,1834,25.5,50.83333
GSS 019,LL6,Chondrite,Stony,12000,1,Found,1999,25.65778,25.53667
Beeler,LL6,Chondrite,Stony,11620,1,Found,1924,-100.21667,38.53333
Bandong,LL6,Chondrite,Stony,11500,0,Fell,1871,107.6,-6.91667
Bison,LL6,Chondrite,Stony,11000,1,Found,1958,-99.71,38.30667
Hope Creek,LL6,Chondrite,Stony,9830,1,Found,1998,-146.26667,65.38333
Cherokee Springs,LL6,Chondrite,Stony,8400,0,Fell,1933,-81.88333,35.03333
Taouz 002,LL6,Chondrite,Stony,8350,1,Found,1999,-3.96667,30.9
St. Mesmin,LL6,Chondrite,Stony,8300,0,Fell,1866,3.93333,48.45
Oubari,LL6,Chondrite,Stony,8000,1,Found,1944,13.58333,26.8
Segowlie,LL6,Chondrite,Stony,6930,0,Fell,1853,84.78333,26.75
Meru,LL6,Chondrite,Stony,6000,0,Fell,1945,37.66667,0
Min-Fan-Zhun,LL6,Chondrite,Stony,5500,0,Fell,1952,120.66667,32.33333
Dongtai,LL6,Chondrite,Stony,5500,0,Fell,1970,120.78333,32.91667
HaH 183,LL6,Chondrite,Stony,5000,1,Found,1996,13.33417,28.61067
MIL 99301,LL6,Chondrite,Stony,4037,1,Found,1999,157,-83.25
SaU 264,LL6,Chondrite,Stony,3548,1,Found,2002,57.1949,20.69617
Al Huwaysah 001,LL6,Chondrite,Stony,3151,1,Found,2009,55.32742,22.80487
Dho 1658,LL6,Chondrite,Stony,3150,1,Found,2011,54.40705,18.35967
A-881832,LL6,Chondrite,Stony,3078,1,Found,1988,26,-72
Karakol,LL6,Chondrite,Stony,3000,0,Fell,1840,81.01667,47.21667
Plateau du Tademait 006,LL6,Chondrite,Stony,2995,1,Found,2004,0.70617,27.37033
Acfer 113,LL6,Chondrite,Stony,2906,1,Found,1990,4.03333,27.56667
Benton,LL6,Chondrite,Stony,2840,0,Fell,1949,-67.55,45.95
St. Lawrence,LL6,Chondrite,Stony,2600,1,Found,1965,-101.505,31.73333
Karatu,LL6,Chondrite,Stony,2220,0,Fell,1963,35.58333,-3.5
Perryton,LL6,Chondrite,Stony,2114,1,Found,1975,-100.73167,36.35333
A-881887,LL6,Chondrite,Stony,2095,1,Found,1988,26,-72
Paposo,LL6,Chondrite,Stony,2000,1,Found,2001,-70.32,-25.14333
Vavilovka,LL6,Chondrite,Stony,1932,0,Fell,1876,32.83333,46.15
Dho 1251,LL6,Chondrite,Stony,1905,1,Found,2005,54.195389,18.56925
Y-790739,LL6,Chondrite,Stony,1831.3,1,Found,1979,35.66667,-71.5
Dho 749,LL6,Chondrite,Stony,1730,1,Found,2000,54.78035,18.8773
Manbhoom,LL6,Chondrite,Stony,1700,0,Fell,1863,86.7,23.05
Dho 263,LL6,Chondrite,Stony,1698.1,1,Found,2001,54.40067,18.34583
Borgo San Donino,LL6,Chondrite,Stony,1676,0,Fell,1808,10.05,44.86667
MET 01001,LL6,Chondrite,Stony,1591,1,Found,2001,159.75,-79.68333
Dho 1580,LL6,Chondrite,Stony,1503,1,Found,2004,54.42683,18.56783
HaH 314,LL6,Chondrite,Stony,1470,1,Found,2001,13.45883,28.65467
RKP 92404,LL6,Chondrite,Stony,1419.9,1,Found,1992,158.40541,-76.22084
PCA 91023,LL6,Chondrite,Stony,1402.3,1,Found,1991,-68.4221,-85.68155
Acfer 106,LL6,Chondrite,Stony,1390,1,Found,1990,3.9,27.5
MET 01050,LL6,Chondrite,Stony,1375.1,1,Found,2001,159.75,-79.68333
Acfer 378,LL6,Chondrite,Stony,1320,1,Found,2003,3.75,27.4
HaH 186,LL6,Chondrite,Stony,1280,1,Found,1996,13.27367,28.71217
QUE 97012,LL6,Chondrite,Stony,1272.5,1,Found,1997,168,-84
Trebbin,LL6,Chondrite,Stony,1250,0,Fell,1988,13.16667,52.21667
Y-793539,LL6,Chondrite,Stony,1224,1,Found,1979,35.66667,-71.5
Oued el Hadjar,LL6,Chondrite,Stony,1215.5,0,Fell,1986,-6.57717,30.18
DaG 036,LL6,Chondrite,Stony,1214,1,Found,1995,16.30867,27.10383
MET 00449,LL6,Chondrite,Stony,1192.3,1,Found,2000,155.75,-79.68333
Mellenbye,LL6,Chondrite,Stony,1181.6,1,Found,1929,116.28333,-28.85
Douar Mghila,LL6,Chondrite,Stony,1161,0,Fell,1932,-6.3,32.33333
A-881608,LL6,Chondrite,Stony,1143.05,1,Found,1988,26,-72
MET 00459,LL6,Chondrite,Stony,1118.7,1,Found,2000,155.75,-79.68333
HaH 056,LL6,Chondrite,Stony,1080,1,Found,1994,13.16467,28.673
BTNA78004,LL6,Chondrite,Stony,1079,1,Found,1978,153.5,-80.25
Dho 1472,LL6,Chondrite,Stony,1064.1,1,Found,2008,54.14937,18.57433
PCA 02072,LL6,Chondrite,Stony,1021.9,1,Found,2002,-68.7,-85.63333
DaG 037,LL6,Chondrite,Stony,990,1,Found,1995,16.32383,27.10767
Y-75258,LL6,Chondrite,Stony,971,1,Found,1975,35.66667,-71.5
A-881900,LL6,Chondrite,Stony,957.99,1,Found,1988,26,-72
Dho 1154,LL6,Chondrite,Stony,952,1,Found,2005,54.26175,18.741611
Y-793506,LL6,Chondrite,Stony,939,1,Found,1979,35.66667,-71.5
DaG 745,LL6,Chondrite,Stony,866,1,Found,1998,16.20167,27.305
Acfer 120,LL6,Chondrite,Stony,861,1,Found,1990,4.3,27.65
Ottawa,LL6,Chondrite,Stony,840,0,Fell,1896,-95.21667,38.6
Y-791536,LL6,Chondrite,Stony,839,1,Found,1979,35.66667,-71.5
Shi??????r 028,LL6,Chondrite,Stony,818.11,1,Found,1998,53.80753,18.14277
Dho 580,LL6,Chondrite,Stony,812,1,Found,2001,54.19682,18.71505
SaU 526,LL6,Chondrite,Stony,806,1,Found,2010,56.79725,20.52596
HaH 246,LL6,Chondrite,Stony,796.69,1,Found,1997,12.88683,28.421
DaG 599,LL6,Chondrite,Stony,781,1,Found,1998,16.67317,26.916
MET 00451,LL6,Chondrite,Stony,767.2,1,Found,2000,155.75,-79.68333
DaG 989,LL6,Chondrite,Stony,764,1,Found,2002,16.33167,27.1125
MAC 88113,LL6,Chondrite,Stony,752.2,1,Found,1988,160.5,-84.21667
Morokweng,LL6,Chondrite,Stony,750,1,Found,2004,23.52395,-26.37247
Metameur 001,LL6,Chondrite,Stony,748,1,Found,2005,10.4,33.35
DEW 03001,LL6,Chondrite,Stony,725.2,1,Found,2004,159.76117,-77.20919
Ischgl,LL6,Chondrite,Stony,724,1,Found,1976,10.27333,47.02633
MET 00457,LL6,Chondrite,Stony,709.4,1,Found,2000,155.75,-79.68333
MET 00450,LL6,Chondrite,Stony,691.1,1,Found,2000,155.75,-79.68333
Al Huwaysah 002,LL6,Chondrite,Stony,690.5,1,Found,2009,55.31673,22.79853
MET 00458,LL6,Chondrite,Stony,687.5,1,Found,2000,155.75,-79.68333
Elbert,LL6,Chondrite,Stony,680.5,0,Fell,1998,-104.58817,39.24667
Dho 1072,LL6,Chondrite,Stony,680.5,1,Found,2000,54.6433,18.85807
Bhawad,LL6,Chondrite,Stony,678,0,Fell,2002,73.11528,26.50833
DaG 038,LL6,Chondrite,Stony,674,1,Found,1995,16.3515,27.10967
Acfer 364,LL6,Chondrite,Stony,656,1,Found,2002,4.51667,27.7
HaH 060,LL6,Chondrite,Stony,648,1,Found,1994,13.075,28.95133
Taiban (b),LL6,Chondrite,Stony,641,1,Found,1984,-104.01667,34.45
PCA 02068,LL6,Chondrite,Stony,640.1,1,Found,2002,-68.7,-85.63333
ALH 85019,LL6,Chondrite,Stony,632.8,1,Found,1985,156.53178,-76.91508
HaH 287,LL6,Chondrite,Stony,620,1,Found,2000,12.93858,28.99025
DaG 254,LL6,Chondrite,Stony,617,1,Found,1997,16.31583,27.11267
ALH 84081,LL6,Chondrite,Stony,612.3,1,Found,1984,156.95124,-76.92365
Tomakovka,LL6,Chondrite,Stony,600,0,Fell,1905,34.76667,47.85
HaH 085,LL6,Chondrite,Stony,594,1,Found,1995,12.91017,28.78483
GSS 004,LL6,Chondrite,Stony,580,1,Found,1994,25.52778,25.59306
Y-790520,LL6,Chondrite,Stony,565.3,1,Found,1979,35.66667,-71.5
Y-74646,LL6,Chondrite,Stony,554.7,1,Found,1974,35.97778,-71.67917
Acfer 346,LL6,Chondrite,Stony,546,1,Found,2002,4.66278,27.59056
Melnikovo,LL6,Chondrite,Stony,545.6,1,Found,1983,35.6,49.78333
A-882061,LL6,Chondrite,Stony,528.4,1,Found,1988,26,-72
JaH 343,LL6,Chondrite,Stony,528.4,1,Found,2006,56.57985,19.75175
LAP 03572,LL6,Chondrite,Stony,525.4,1,Found,2003,-70,-86.36667
Y-793533,LL6,Chondrite,Stony,510.32,1,Found,1979,35.66667,-71.5
HaH 057,LL6,Chondrite,Stony,505,1,Found,1994,13.0665,28.94
Acfer 375,LL6,Chondrite,Stony,495,1,Found,2002,3.76383,27.5085
MET 00454,LL6,Chondrite,Stony,487,1,Found,2000,155.75,-79.68333
Jolomba,LL6,Chondrite,Stony,483,0,Fell,1974,15.83333,-11.85
DaG 472,LL6,Chondrite,Stony,482,1,Found,1998,15.96517,27.79133
PCA 82507,LL6,Chondrite,Stony,479.8,1,Found,1982,-67.77839,-85.68658
Sabrum,LL6,Chondrite,Stony,478,0,Fell,1999,91.66667,23.08333
TIL 82402,LL6,Chondrite,Stony,476,1,Found,1982,-94.62127,-85.16324
MET 00477,LL6,Chondrite,Stony,474.2,1,Found,2000,155.75,-79.68333
Y-790783,LL6,Chondrite,Stony,468.9,1,Found,1979,35.66667,-71.5
QUE 99097,LL6,Chondrite,Stony,463,1,Found,1999,168,-84
San Pedro Jacuaro,LL6,Chondrite,Stony,460,0,Fell,1968,-100.65,19.76667
MET 00470,LL6,Chondrite,Stony,456.2,1,Found,2000,155.75,-79.68333
SaU 083,LL6,Chondrite,Stony,455,1,Found,2000,57.26967,21.05183
Dho 1261,LL6,Chondrite,Stony,445.6,1,Found,2005,54.515083,18.733472
Dho 1139,LL6,Chondrite,Stony,445,1,Found,2005,54.639389,19.191694
DaG 947,LL6,Chondrite,Stony,436,1,Found,2000,16.31933,27.44683
HaH 277,LL6,Chondrite,Stony,436,1,Found,2000,12.86433,28.45783
RaS 262,LL6,Chondrite,Stony,425,1,Found,2006,56.40697,20.01352
HaH 282,LL6,Chondrite,Stony,424,1,Found,2000,12.88617,28.43917
DaG 585,LL6,Chondrite,Stony,422.6,1,Found,1998,16.07767,27.1555
MET 01037,LL6,Chondrite,Stony,421,1,Found,2001,159.75,-79.68333
ALH 85035,LL6,Chondrite,Stony,420.1,1,Found,1985,159.39194,-76.73732
MET 00464,LL6,Chondrite,Stony,418.9,1,Found,2000,155.75,-79.68333
QUE 97011,LL6,Chondrite,Stony,402.7,1,Found,1997,168,-84
El M??dano 133,LL6,Chondrite,Stony,397,1,Found,2011,-70.53333,-24.85
QUE 97023,LL6,Chondrite,Stony,394.7,1,Found,1997,168,-84
DaG 744,LL6,Chondrite,Stony,390,1,Found,1998,16.05083,27.12833
MET 01038,LL6,Chondrite,Stony,388,1,Found,2001,159.75,-79.68333
JaH 692,LL6,Chondrite,Stony,387,1,Found,2011,55.5607,19.04955
HaH 202,LL6,Chondrite,Stony,386,1,Found,1997,13.22367,28.633
Rhall Amane 002,LL6,Chondrite,Stony,383,1,Found,2005,-9.94017,23.39067
Y-790256,LL6,Chondrite,Stony,382.1,1,Found,1979,35.66667,-71.5
