place,type_of_meteorite,subgroup_of_meteorite,group_of_meteorite,mass_g,fell_found01,fell_found,year,longitude,latitude
LEW 86239,H6,Chondrite,Stony,25.4,1,Found,1986,161.38189,-84.25567
MET 00985,H6,Chondrite,Stony,25.4,1,Found,2000,159.75,-79.68333
QUE 99310,H6,Chondrite,Stony,25.3,1,Found,1999,168,-84
MET 00926,H6,Chondrite,Stony,25.3,1,Found,2000,159.75,-79.68333
LEW 88450,H6,Chondrite,Stony,25.2,1,Found,1988,161.45159,-84.23719
LEW 86340,H6,Chondrite,Stony,25.1,1,Found,1986,161.35435,-84.27756
MET 001042,H6,Chondrite,Stony,25.1,1,Found,2000,159.75,-79.68333
LEW 87063,H6,Chondrite,Stony,25,1,Found,1987,161.37394,-84.25397
PCA 91088,H6,Chondrite,Stony,25,1,Found,1991,-69.03397,-85.65798
EET 96165,H6,Chondrite,Stony,25,1,Found,1996,157.16667,-76.18333
A-87316,H6,Chondrite,Stony,24.98,1,Found,1987,26,-72
PCA 82526,H6,Chondrite,Stony,24.9,1,Found,1982,-68.15,-85.66909
QUE 99197,H6,Chondrite,Stony,24.8,1,Found,1999,168,-84
MET 00870,H6,Chondrite,Stony,24.8,1,Found,2000,159.75,-79.68333
Mundrabilla 006,H6,Chondrite,Stony,24.6,1,Found,1982,127.70833,-30.00833
MET 001125,H6,Chondrite,Stony,24.6,1,Found,2000,159.75,-79.68333
LEW 88340,H6,Chondrite,Stony,24.5,1,Found,1988,161.44633,-84.23524
FRO 90166,H6,Chondrite,Stony,24.41,1,Found,1990,160.44698,-72.9531
ALH 84204,H6,Chondrite,Stony,24.4,1,Found,1984,156.89215,-76.89116
MET 00833,H6,Chondrite,Stony,24.4,1,Found,2000,159.75,-79.68333
LEW 97215,H6,Chondrite,Stony,24.3,1,Found,1997,161.5,-84.26667
MET 01176,H6,Chondrite,Stony,24.3,1,Found,2001,159.75,-79.68333
EET 87815,H6,Chondrite,Stony,24.2,1,Found,1987,156.45694,-76.28383
HrDL 005,H6,Chondrite,Stony,24,1,Found,1999,-117.30188,35.05063
GRV 024129,H6,Chondrite,Stony,24,1,Found,2003,75.256389,-72.985
JaH 533,H6,Chondrite,Stony,24,1,Found,2008,55.16707,19.54055
MET 00881,H6,Chondrite,Stony,23.83,1,Found,2000,155.75,-79.68333
ALHA81146,H6,Chondrite,Stony,23.8,1,Found,1981,159.38778,-76.70917
PCA 91268,H6,Chondrite,Stony,23.8,1,Found,1991,-68.79709,-85.68216
Y-74469,H6,Chondrite,Stony,23.73,1,Found,1974,35.66667,0
QUE 94649,H6,Chondrite,Stony,23.7,1,Found,1994,168,-84
Y-791922,H6,Chondrite,Stony,23.65,1,Found,1979,35.66667,-71.5
LEW 88671,H6,Chondrite,Stony,23.6,1,Found,1988,161.41767,-84.27484
PCA 91321,H6,Chondrite,Stony,23.6,1,Found,1991,-69.0633,-85.67671
A-880626,H6,Chondrite,Stony,23.58,1,Found,1988,26,-72
FRO 84007,H6,Chondrite,Stony,23.5,1,Found,1984,160.47328,-72.95488
A-880748,H6,Chondrite,Stony,23.49,1,Found,1988,26,-72
MET 00873,H6,Chondrite,Stony,23.4,1,Found,2000,159.75,-79.68333
